Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","KEYS2998","BatteryHolder_Keystone_2998_1x6.8mm",142.7143,-78.9309,0.0000,top
"C22","10uF","C_0805_2012Metric",149.2675,-98.5397,90.0000,top
"C25","100nF","C_0805_2012Metric",151.4011,-98.5397,90.0000,top
"D3","YELLOW","LED_1206_3216Metric",168.0263,-119.3169,-90.0000,top
"D4","YELLOW","LED_1206_3216Metric",163.0263,-119.3169,-90.0000,top
"D7","RED","LED_1206_3216Metric",148.0263,-119.3169,-90.0000,top
"D8","GREEN","LED_1206_3216Metric",158.0263,-119.3169,-90.0000,top
"D9","BLUE","LED_1206_3216Metric",153.0263,-119.3169,-90.0000,top
"D10","RED","LED_1206_3216Metric",168.0263,-78.6769,-90.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",126.7123,-121.5013,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",181.8303,-78.2705,0.0000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",126.7631,-76.8481,0.0000,top
"J2","SD_Card-FPS009-4200-0","FPS009-4200-0",189.8223,-97.6469,0.0000,top
"R17","100R","R_0805_2012Metric",150.3343,-92.2405,0.0000,top
"R18","100R","R_0805_2012Metric",150.3343,-94.8313,0.0000,top
"R24","100R","R_0805_2012Metric",150.3343,-102.2481,0.0000,top
"R25","100R","R_0805_2012Metric",150.3343,-107.1757,0.0000,top
